Outcome,Term,Coef,SE,t,p,type
waistcm_w6.5,ses_w6,"-0.68 [-1.15, -0.21]",0.24,-2.82,0.005,adjusted
waistcm_w6.5,bad_diet,"1.01 [-1.01, 3.03]",1.03,0.98,0.33,adjusted
waistcm_w6.5,sexualmaturity_numeric_w6.5,"1.85 [1.34, 2.36]",0.26,7.18,< 0.001,adjusted
waistcm_w6.5,accmvpa_w6.5_scaled,"-1.53 [-2.13, -0.94]",0.3,-5.04,< 0.001,adjusted
waistcm_w6.5,accsed_w6.5_scaled,"-0.3 [-0.88, 0.27]",0.29,-1.03,0.30,adjusted
waist2height_w6.5,(Intercept),"0.42 [0.41, 0.44]",0.01,64.64,< 0.001,unadjusted
waist2height_w6.5,blup_intercept,"0.01 [0.01, 0.01]",0,4.14,< 0.001,unadjusted
waist2height_w6.5,blup_slope,"0.02 [0, 0.03]",0.01,2.08,0.038,unadjusted
waist2height_w6.5,female,"-0.01 [-0.02, -0.01]",0,-4.38,< 0.001,unadjusted
waist2height_w6.5,indig,"0 [-0.02, 0.01]",0.01,-0.53,0.60,unadjusted
waist2height_w6.5,ses_w6,"0 [-0.01, 0]",0,-3.83,< 0.001,unadjusted
waist2height_w6.5,bad_diet,"0 [-0.01, 0.02]",0.01,0.85,0.40,unadjusted
waist2height_w6.5,sexualmaturity_numeric_w6.5,"0 [0, 0]",0,1.75,0.080,unadjusted
waist2height_w6.5,(Intercept),"0.43 [0.41, 0.44]",0.01,56.29,< 0.001,adjusted
waist2height_w6.5,blup_intercept,"0.01 [0.01, 0.02]",0,4.07,< 0.001,adjusted
waist2height_w6.5,blup_slope,"0.01 [-0.01, 0.03]",0.01,0.78,0.43,adjusted
waist2height_w6.5,female,"-0.01 [-0.02, -0.01]",0,-4.52,< 0.001,adjusted
waist2height_w6.5,indig,"0 [-0.03, 0.02]",0.01,-0.26,0.79,adjusted
waist2height_w6.5,ses_w6,"0 [-0.01, 0]",0,-2.93,0.003,adjusted
waist2height_w6.5,bad_diet,"0.01 [0, 0.02]",0.01,1.45,0.15,adjusted
waist2height_w6.5,sexualmaturity_numeric_w6.5,"0 [0, 0]",0,0.03,0.97,adjusted
waist2height_w6.5,accmvpa_w6.5_scaled,"-0.01 [-0.01, 0]",0,-3.69,< 0.001,adjusted
waist2height_w6.5,accsed_w6.5_scaled,"0 [-0.01, 0]",0,-0.88,0.38,adjusted
bmiz_w6.5,(Intercept),"-0.34 [-0.6, -0.08]",0.13,-2.53,0.012,unadjusted
bmiz_w6.5,blup_intercept,"0.15 [0.06, 0.25]",0.05,3.1,0.002,unadjusted
bmiz_w6.5,blup_slope,"0.29 [-0.06, 0.63]",0.18,1.63,0.10,unadjusted
bmiz_w6.5,female,"-0.17 [-0.27, -0.06]",0.05,-3.17,0.002,unadjusted
bmiz_w6.5,indig,"0.05 [-0.3, 0.4]",0.18,0.29,0.77,unadjusted
bmiz_w6.5,ses_w6,"-0.06 [-0.11, -0.01]",0.03,-2.4,0.017,unadjusted
bmiz_w6.5,bad_diet,"0.07 [-0.15, 0.29]",0.11,0.64,0.52,unadjusted
bmiz_w6.5,sexualmaturity_numeric_w6.5,"0.27 [0.21, 0.32]",0.03,10.16,< 0.001,unadjusted
bmiz_w6.5,(Intercept),"-0.25 [-0.56, 0.06]",0.16,-1.56,0.12,adjusted
bmiz_w6.5,blup_intercept,"0.18 [0.06, 0.3]",0.06,3.02,0.003,adjusted
bmiz_w6.5,blup_slope,"0.13 [-0.3, 0.57]",0.22,0.6,0.55,adjusted
bmiz_w6.5,female,"-0.26 [-0.4, -0.13]",0.07,-3.86,< 0.001,adjusted
bmiz_w6.5,indig,"-0.04 [-0.54, 0.46]",0.25,-0.14,0.89,adjusted
bmiz_w6.5,ses_w6,"-0.05 [-0.11, 0.01]",0.03,-1.74,0.082,adjusted
bmiz_w6.5,bad_diet,"0.16 [-0.1, 0.42]",0.13,1.21,0.23,adjusted
bmiz_w6.5,sexualmaturity_numeric_w6.5,"0.23 [0.16, 0.29]",0.03,6.86,< 0.001,adjusted
bmiz_w6.5,accmvpa_w6.5_scaled,"-0.17 [-0.25, -0.09]",0.04,-4.38,< 0.001,adjusted
bmiz_w6.5,accsed_w6.5_scaled,"-0.07 [-0.14, 0.01]",0.04,-1.78,0.076,adjusted
bodyfat_w6.5,(Intercept),"17.74 [15.5, 19.98]",1.14,15.51,< 0.001,unadjusted
bodyfat_w6.5,blup_intercept,"1.93 [1.12, 2.74]",0.41,4.68,< 0.001,unadjusted
bodyfat_w6.5,blup_slope,"2.24 [-0.71, 5.2]",1.51,1.49,0.14,unadjusted
bodyfat_w6.5,female,"2.87 [1.98, 3.76]",0.45,6.34,< 0.001,unadjusted
bodyfat_w6.5,indig,"0.19 [-2.79, 3.18]",1.52,0.13,0.90,unadjusted
bodyfat_w6.5,ses_w6,"-0.85 [-1.28, -0.43]",0.21,-3.98,< 0.001,unadjusted
bodyfat_w6.5,bad_diet,"1.18 [-0.71, 3.08]",0.96,1.23,0.22,unadjusted
bodyfat_w6.5,sexualmaturity_numeric_w6.5,"0.64 [0.21, 1.08]",0.22,2.89,0.004,unadjusted
bodyfat_w6.5,(Intercept),"19.74 [17.16, 22.31]",1.31,15.04,< 0.001,adjusted
bodyfat_w6.5,blup_intercept,"2.16 [1.2, 3.12]",0.49,4.41,< 0.001,adjusted
bodyfat_w6.5,blup_slope,"0.96 [-2.66, 4.58]",1.84,0.52,0.60,adjusted
bodyfat_w6.5,female,"1.76 [0.65, 2.87]",0.56,3.12,0.002,adjusted
bodyfat_w6.5,indig,"0 [-4.12, 4.12]",2.1,0,1.00,adjusted
bodyfat_w6.5,ses_w6,"-0.74 [-1.24, -0.24]",0.25,-2.91,0.004,adjusted
bodyfat_w6.5,bad_diet,"1.69 [-0.43, 3.82]",1.08,1.56,0.12,adjusted
bodyfat_w6.5,sexualmaturity_numeric_w6.5,"-0.04 [-0.57, 0.49]",0.27,-0.14,0.88,adjusted
bodyfat_w6.5,accmvpa_w6.5_scaled,"-2.43 [-3.06, -1.8]",0.32,-7.57,< 0.001,adjusted
bodyfat_w6.5,accsed_w6.5_scaled,"-0.48 [-1.08, 0.12]",0.31,-1.56,0.12,adjusted
bpsysamp_w6.5,(Intercept),"15.15 [14.3, 16.01]",0.44,34.81,< 0.001,unadjusted
bpsysamp_w6.5,blup_intercept,"-0.14 [-0.44, 0.16]",0.15,-0.94,0.35,unadjusted
bpsysamp_w6.5,blup_slope,"0.17 [-0.93, 1.26]",0.56,0.3,0.77,unadjusted
bpsysamp_w6.5,female,"-0.95 [-1.28, -0.61]",0.17,-5.6,< 0.001,unadjusted
bpsysamp_w6.5,indig,"-0.18 [-1.27, 0.92]",0.56,-0.32,0.75,unadjusted
bpsysamp_w6.5,ses_w6,"-0.06 [-0.21, 0.1]",0.08,-0.72,0.47,unadjusted
bpsysamp_w6.5,bad_diet,"-0.23 [-0.95, 0.49]",0.37,-0.63,0.53,unadjusted
bpsysamp_w6.5,sexualmaturity_numeric_w6.5,"0.39 [0.22, 0.55]",0.08,4.64,< 0.001,unadjusted
bpsysamp_w6.5,(Intercept),"14.65 [13.65, 15.65]",0.51,28.79,< 0.001,adjusted
bpsysamp_w6.5,blup_intercept,"-0.12 [-0.49, 0.24]",0.19,-0.66,0.51,adjusted
bpsysamp_w6.5,blup_slope,"0.39 [-0.98, 1.77]",0.7,0.56,0.57,adjusted
bpsysamp_w6.5,female,"-0.71 [-1.14, -0.29]",0.22,-3.29,0.001,adjusted
bpsysamp_w6.5,indig,"-0.25 [-1.83, 1.33]",0.81,-0.31,0.76,adjusted
bpsysamp_w6.5,ses_w6,"-0.04 [-0.23, 0.15]",0.1,-0.45,0.65,adjusted
bpsysamp_w6.5,bad_diet,"0.22 [-0.6, 1.05]",0.42,0.53,0.60,adjusted
bpsysamp_w6.5,sexualmaturity_numeric_w6.5,"0.37 [0.17, 0.58]",0.1,3.6,< 0.001,adjusted
bpsysamp_w6.5,accmvpa_w6.5_scaled,"0.28 [0.03, 0.52]",0.12,2.21,0.027,adjusted
bpsysamp_w6.5,accsed_w6.5_scaled,"-0.01 [-0.24, 0.23]",0.12,-0.04,0.96,adjusted
pulsepressamp_w6.5,(Intercept),"1.38 [1.29, 1.46]",0.04,32,< 0.001,unadjusted
pulsepressamp_w6.5,blup_intercept,"-0.02 [-0.05, 0.01]",0.02,-1.26,0.21,unadjusted
pulsepressamp_w6.5,blup_slope,"-0.11 [-0.22, 0]",0.06,-1.97,0.049,unadjusted
pulsepressamp_w6.5,female,"-0.01 [-0.05, 0.02]",0.02,-0.76,0.45,unadjusted
pulsepressamp_w6.5,indig,"-0.03 [-0.14, 0.08]",0.06,-0.53,0.60,unadjusted
pulsepressamp_w6.5,ses_w6,"0.01 [0, 0.03]",0.01,1.38,0.17,unadjusted
pulsepressamp_w6.5,bad_diet,"0 [-0.07, 0.07]",0.04,-0.08,0.93,unadjusted
pulsepressamp_w6.5,sexualmaturity_numeric_w6.5,"0.02 [0.01, 0.04]",0.01,2.67,0.008,unadjusted
pulsepressamp_w6.5,(Intercept),"1.27 [1.17, 1.37]",0.05,24.79,< 0.001,adjusted
pulsepressamp_w6.5,blup_intercept,"-0.01 [-0.05, 0.03]",0.02,-0.58,0.56,adjusted
pulsepressamp_w6.5,blup_slope,"-0.08 [-0.22, 0.06]",0.07,-1.14,0.25,adjusted
pulsepressamp_w6.5,female,"0.01 [-0.03, 0.05]",0.02,0.48,0.63,adjusted
pulsepressamp_w6.5,indig,"-0.04 [-0.2, 0.12]",0.08,-0.48,0.63,adjusted
pulsepressamp_w6.5,ses_w6,"0.01 [-0.01, 0.03]",0.01,0.98,0.33,adjusted
pulsepressamp_w6.5,bad_diet,"0.07 [-0.01, 0.15]",0.04,1.69,0.091,adjusted
pulsepressamp_w6.5,sexualmaturity_numeric_w6.5,"0.03 [0.01, 0.05]",0.01,2.9,0.004,adjusted
pulsepressamp_w6.5,accmvpa_w6.5_scaled,"0.03 [0, 0.05]",0.01,2.05,0.041,adjusted
pulsepressamp_w6.5,accsed_w6.5_scaled,"0.01 [-0.01, 0.03]",0.01,0.78,0.44,adjusted
bpsysz_w6.5,(Intercept),"-0.05 [-0.26, 0.16]",0.11,-0.45,0.65,unadjusted
bpsysz_w6.5,blup_intercept,"0.08 [0, 0.15]",0.04,2.04,0.042,unadjusted
bpsysz_w6.5,blup_slope,"0.21 [-0.06, 0.49]",0.14,1.53,0.13,unadjusted
bpsysz_w6.5,female,"0.16 [0.08, 0.24]",0.04,3.84,< 0.001,unadjusted
bpsysz_w6.5,indig,"0.02 [-0.26, 0.29]",0.14,0.12,0.91,unadjusted
bpsysz_w6.5,ses_w6,"-0.06 [-0.1, -0.02]",0.02,-2.87,0.004,unadjusted
bpsysz_w6.5,bad_diet,"0.04 [-0.13, 0.22]",0.09,0.48,0.63,unadjusted
bpsysz_w6.5,sexualmaturity_numeric_w6.5,"0 [-0.04, 0.04]",0.02,0.19,0.85,unadjusted
bpsysz_w6.5,(Intercept),"-0.12 [-0.37, 0.13]",0.13,-0.97,0.33,adjusted
bpsysz_w6.5,blup_intercept,"0.07 [-0.02, 0.16]",0.05,1.45,0.15,adjusted
bpsysz_w6.5,blup_slope,"0.15 [-0.2, 0.49]",0.17,0.83,0.41,adjusted
bpsysz_w6.5,female,"0.2 [0.1, 0.31]",0.05,3.8,< 0.001,adjusted
bpsysz_w6.5,indig,"-0.17 [-0.57, 0.23]",0.2,-0.84,0.40,adjusted
bpsysz_w6.5,ses_w6,"-0.05 [-0.1, -0.01]",0.02,-2.22,0.026,adjusted
bpsysz_w6.5,bad_diet,"0.17 [-0.03, 0.37]",0.1,1.63,0.10,adjusted
bpsysz_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.07, 0.03]",0.03,-0.7,0.48,adjusted
bpsysz_w6.5,accmvpa_w6.5_scaled,"0 [-0.06, 0.06]",0.03,0,1.00,adjusted
bpsysz_w6.5,accsed_w6.5_scaled,"0.02 [-0.04, 0.07]",0.03,0.53,0.60,adjusted
bpdiaz_w6.5,(Intercept),"0.03 [-0.12, 0.18]",0.08,0.42,0.68,unadjusted
bpdiaz_w6.5,blup_intercept,"0.08 [0.02, 0.13]",0.03,2.8,0.005,unadjusted
bpdiaz_w6.5,blup_slope,"0.16 [-0.04, 0.35]",0.1,1.58,0.12,unadjusted
bpdiaz_w6.5,female,"0.15 [0.09, 0.21]",0.03,5.12,< 0.001,unadjusted
bpdiaz_w6.5,indig,"-0.04 [-0.23, 0.16]",0.1,-0.38,0.71,unadjusted
bpdiaz_w6.5,ses_w6,"-0.02 [-0.05, 0.01]",0.01,-1.53,0.13,unadjusted
bpdiaz_w6.5,bad_diet,"0.02 [-0.1, 0.15]",0.06,0.36,0.72,unadjusted
bpdiaz_w6.5,sexualmaturity_numeric_w6.5,"-0.08 [-0.11, -0.05]",0.01,-5.62,< 0.001,unadjusted
bpdiaz_w6.5,(Intercept),"0.06 [-0.12, 0.23]",0.09,0.67,0.50,adjusted
bpdiaz_w6.5,blup_intercept,"0.05 [-0.02, 0.11]",0.03,1.49,0.14,adjusted
bpdiaz_w6.5,blup_slope,"0.08 [-0.16, 0.32]",0.12,0.66,0.51,adjusted
