Outcome,Term,Coef,SE,z,p,type
bodyfat_w6.5,ses_w6,"-0.73 [-1.18, -0.28]",0.23,-3.2,0.001,unadjusted
bodyfat_w6.5,bad_diet,"-0.36 [-1.58, 0.87]",0.62,-0.57,0.57,unadjusted
bodyfat_w6.5,sexualmaturity_numeric_w6.5,"0.62 [0.19, 1.06]",0.22,2.79,0.005,unadjusted
bodyfat_w6.5,st_intercept,"2.27 [1.27, 3.26]",0.51,4.47,< 0.001,adjusted
bodyfat_w6.5,st_slope,"1.95 [-1.62, 5.51]",1.82,1.07,0.29,adjusted
bodyfat_w6.5,female,"2 [0.88, 3.12]",0.57,3.49,< 0.001,adjusted
bodyfat_w6.5,indig,"-0.26 [-4.38, 3.86]",2.1,-0.13,0.90,adjusted
bodyfat_w6.5,ses_w6,"-0.55 [-1.08, -0.02]",0.27,-2.04,0.042,adjusted
bodyfat_w6.5,bad_diet,"-0.3 [-1.69, 1.09]",0.71,-0.42,0.67,adjusted
bodyfat_w6.5,sexualmaturity_numeric_w6.5,"-0.09 [-0.62, 0.44]",0.27,-0.34,0.74,adjusted
bodyfat_w6.5,accmvpa_w6.5_scaled,"-2.46 [-3.08, -1.83]",0.32,-7.68,< 0.001,adjusted
bodyfat_w6.5,accsed_w6.5_scaled,"-0.47 [-1.07, 0.13]",0.31,-1.54,0.12,adjusted
bpsysamp_w6.5,st_intercept,"-0.08 [-0.4, 0.24]",0.16,-0.48,0.63,unadjusted
bpsysamp_w6.5,st_slope,"0.06 [-0.99, 1.1]",0.53,0.11,0.92,unadjusted
bpsysamp_w6.5,female,"-0.93 [-1.27, -0.6]",0.17,-5.45,< 0.001,unadjusted
bpsysamp_w6.5,indig,"-0.2 [-1.3, 0.9]",0.56,-0.36,0.72,unadjusted
bpsysamp_w6.5,ses_w6,"-0.06 [-0.22, 0.11]",0.08,-0.65,0.51,unadjusted
bpsysamp_w6.5,bad_diet,"-0.07 [-0.52, 0.38]",0.23,-0.3,0.76,unadjusted
bpsysamp_w6.5,sexualmaturity_numeric_w6.5,"0.39 [0.22, 0.55]",0.08,4.64,< 0.001,unadjusted
bpsysamp_w6.5,st_intercept,"0 [-0.38, 0.37]",0.19,-0.02,0.98,adjusted
bpsysamp_w6.5,st_slope,"0.15 [-1.19, 1.5]",0.69,0.22,0.82,adjusted
bpsysamp_w6.5,female,"-0.71 [-1.13, -0.28]",0.22,-3.23,0.001,adjusted
bpsysamp_w6.5,indig,"-0.27 [-1.85, 1.31]",0.81,-0.34,0.74,adjusted
bpsysamp_w6.5,ses_w6,"-0.04 [-0.24, 0.16]",0.1,-0.35,0.73,adjusted
bpsysamp_w6.5,bad_diet,"-0.03 [-0.56, 0.5]",0.27,-0.1,0.92,adjusted
bpsysamp_w6.5,sexualmaturity_numeric_w6.5,"0.37 [0.17, 0.58]",0.1,3.6,< 0.001,adjusted
bpsysamp_w6.5,accmvpa_w6.5_scaled,"0.27 [0.03, 0.52]",0.12,2.18,0.029,adjusted
bpsysamp_w6.5,accsed_w6.5_scaled,"-0.01 [-0.24, 0.22]",0.12,-0.11,0.91,adjusted
pulsepressamp_w6.5,st_intercept,"-0.01 [-0.04, 0.03]",0.02,-0.45,0.65,unadjusted
pulsepressamp_w6.5,st_slope,"-0.09 [-0.2, 0.02]",0.05,-1.63,0.10,unadjusted
pulsepressamp_w6.5,female,"-0.01 [-0.05, 0.02]",0.02,-0.65,0.51,unadjusted
pulsepressamp_w6.5,indig,"-0.03 [-0.14, 0.08]",0.06,-0.58,0.56,unadjusted
pulsepressamp_w6.5,ses_w6,"0.01 [0, 0.03]",0.01,1.49,0.14,unadjusted
pulsepressamp_w6.5,bad_diet,"-0.02 [-0.07, 0.03]",0.02,-0.85,0.40,unadjusted
pulsepressamp_w6.5,sexualmaturity_numeric_w6.5,"0.02 [0.01, 0.04]",0.01,2.56,0.011,unadjusted
pulsepressamp_w6.5,st_intercept,"0 [-0.04, 0.04]",0.02,0,1.00,adjusted
pulsepressamp_w6.5,st_slope,"-0.07 [-0.21, 0.07]",0.07,-0.99,0.32,adjusted
pulsepressamp_w6.5,female,"0.01 [-0.03, 0.05]",0.02,0.42,0.68,adjusted
pulsepressamp_w6.5,indig,"-0.05 [-0.21, 0.11]",0.08,-0.58,0.56,adjusted
pulsepressamp_w6.5,ses_w6,"0.01 [-0.01, 0.03]",0.01,0.95,0.34,adjusted
pulsepressamp_w6.5,bad_diet,"-0.05 [-0.1, 0.01]",0.03,-1.71,0.088,adjusted
pulsepressamp_w6.5,sexualmaturity_numeric_w6.5,"0.03 [0.01, 0.05]",0.01,2.81,0.005,adjusted
pulsepressamp_w6.5,accmvpa_w6.5_scaled,"0.03 [0, 0.05]",0.01,1.96,0.050,adjusted
pulsepressamp_w6.5,accsed_w6.5_scaled,"0.01 [-0.01, 0.03]",0.01,0.75,0.45,adjusted
bpsysz_w6.5,st_intercept,"0.08 [0, 0.16]",0.04,2.03,0.042,unadjusted
bpsysz_w6.5,st_slope,"0.21 [-0.06, 0.47]",0.13,1.54,0.12,unadjusted
bpsysz_w6.5,female,"0.17 [0.09, 0.26]",0.04,4.03,< 0.001,unadjusted
bpsysz_w6.5,indig,"0 [-0.27, 0.28]",0.14,0.01,0.99,unadjusted
bpsysz_w6.5,ses_w6,"-0.05 [-0.09, -0.01]",0.02,-2.48,0.013,unadjusted
bpsysz_w6.5,bad_diet,"-0.03 [-0.14, 0.09]",0.06,-0.43,0.66,unadjusted
bpsysz_w6.5,sexualmaturity_numeric_w6.5,"0 [-0.04, 0.04]",0.02,0.14,0.89,unadjusted
bpsysz_w6.5,st_intercept,"0.09 [0, 0.18]",0.05,1.87,0.062,adjusted
bpsysz_w6.5,st_slope,"0.12 [-0.22, 0.45]",0.17,0.68,0.50,adjusted
bpsysz_w6.5,female,"0.21 [0.1, 0.32]",0.05,3.88,< 0.001,adjusted
bpsysz_w6.5,indig,"-0.18 [-0.58, 0.22]",0.2,-0.89,0.37,adjusted
bpsysz_w6.5,ses_w6,"-0.05 [-0.1, 0]",0.03,-1.84,0.065,adjusted
bpsysz_w6.5,bad_diet,"-0.01 [-0.15, 0.12]",0.07,-0.2,0.84,adjusted
bpsysz_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.07, 0.03]",0.03,-0.8,0.42,adjusted
bpsysz_w6.5,accmvpa_w6.5_scaled,"0 [-0.06, 0.06]",0.03,-0.07,0.94,adjusted
bpsysz_w6.5,accsed_w6.5_scaled,"0.02 [-0.04, 0.07]",0.03,0.54,0.59,adjusted
bpdiaz_w6.5,st_intercept,"0.06 [0.01, 0.12]",0.03,2.19,0.029,unadjusted
bpdiaz_w6.5,st_slope,"0.15 [-0.03, 0.34]",0.09,1.62,0.11,unadjusted
bpdiaz_w6.5,female,"0.16 [0.1, 0.22]",0.03,5.14,< 0.001,unadjusted
bpdiaz_w6.5,indig,"-0.04 [-0.23, 0.16]",0.1,-0.39,0.70,unadjusted
bpdiaz_w6.5,ses_w6,"-0.02 [-0.05, 0.01]",0.02,-1.21,0.23,unadjusted
bpdiaz_w6.5,bad_diet,"0.07 [-0.01, 0.15]",0.04,1.67,0.096,unadjusted
bpdiaz_w6.5,sexualmaturity_numeric_w6.5,"-0.08 [-0.11, -0.05]",0.01,-5.55,< 0.001,unadjusted
bpdiaz_w6.5,st_intercept,"0.04 [-0.02, 0.11]",0.03,1.33,0.18,adjusted
bpdiaz_w6.5,st_slope,"0.09 [-0.15, 0.33]",0.12,0.74,0.46,adjusted
bpdiaz_w6.5,female,"0.13 [0.06, 0.21]",0.04,3.4,< 0.001,adjusted
bpdiaz_w6.5,indig,"-0.08 [-0.36, 0.2]",0.14,-0.55,0.58,adjusted
