Outcome,Term,Coef,SE,t,p,type
pulsepressamp_w6.5,bad_diet,"0.08 [0, 0.16]",0.04,1.89,0.059,adjusted
pulsepressamp_w6.5,sexualmaturity_numeric_w6.5,"0.03 [0.01, 0.06]",0.01,3.16,0.002,adjusted
pulsepressamp_w6.5,accmvpa_w6.5_scaled,"0.03 [0, 0.05]",0.01,2.03,0.042,adjusted
pulsepressamp_w6.5,accsed_w6.5_scaled,"0.01 [-0.02, 0.03]",0.01,0.73,0.47,adjusted
bpsysz_w6.5,(Intercept),"-0.08 [-0.28, 0.13]",0.1,-0.73,0.46,unadjusted
bpsysz_w6.5,st_latez,"0.04 [0, 0.08]",0.02,2.08,0.037,unadjusted
bpsysz_w6.5,female,"0.16 [0.08, 0.24]",0.04,3.75,< 0.001,unadjusted
bpsysz_w6.5,indig,"0.04 [-0.24, 0.32]",0.14,0.27,0.79,unadjusted
bpsysz_w6.5,ses_w6,"-0.06 [-0.1, -0.02]",0.02,-2.76,0.006,unadjusted
bpsysz_w6.5,bad_diet,"0.07 [-0.11, 0.25]",0.09,0.77,0.44,unadjusted
bpsysz_w6.5,sexualmaturity_numeric_w6.5,"0.01 [-0.03, 0.05]",0.02,0.36,0.72,unadjusted
bpsysz_w6.5,(Intercept),"-0.18 [-0.42, 0.06]",0.12,-1.47,0.14,adjusted
bpsysz_w6.5,st_latez,"0.03 [-0.02, 0.07]",0.02,1.04,0.30,adjusted
bpsysz_w6.5,female,"0.2 [0.09, 0.3]",0.05,3.66,< 0.001,adjusted
bpsysz_w6.5,indig,"-0.15 [-0.54, 0.24]",0.2,-0.75,0.46,adjusted
bpsysz_w6.5,ses_w6,"-0.05 [-0.1, -0.01]",0.02,-2.18,0.029,adjusted
bpsysz_w6.5,bad_diet,"0.2 [-0.01, 0.41]",0.11,1.88,0.061,adjusted
bpsysz_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.06, 0.04]",0.03,-0.26,0.79,adjusted
